CountryNAe,Region,IncomeGrp,Gender,CleanCook,Refugee,CO2,Fertility,ForestArea,Energy,Output,PopBelow,LegalRights
United Arab Emirates,AP,4.H,0,98.51,895,23.3020225,1.748,4.55730785,7769.23474,0.23240111,14.7846365,2
United Kingdom,EUR,4.H,,100,118995,6.49744049,1.8,13.0657628,2776.8441,24.8400504,5.31301836,7
United States,NAm,4.H,1,100,272959,16.4906084,1.8,33.9297857,6955.52402,13.2285932,2.51255513,11
Uruguay,SLA,4.H,,97.97,304,1.97315082,1.995,10.6715803,1378.27361,88.558952,4.11401879,4
Uzbekistan,AP,2.LM,1,92.1,27,3.42072275,2.455,7.54297139,,20.652933,,6
Vanuatu,AP,2.LM,1,12.57,,0.59499324,3.275,36.09516,,21.2598425,1.17643015,11
"Venezuela, RB",SLA,3.UM,1,96.16,172053,6.02569758,2.317,52.7391889,,63.6950421,2.49610748,1
Vietnam,AP,2.LM,1,66.92,,1.80356575,1.954,48.0601155,,36.7320577,36.971832,7
Virgin Islands (U.S.),SLA,,,,,,2.09,49.9714279,,3.87752541,5.44484463,
West Bank and Gaza,AS,2.LM,1,,2158274,,4.008,1.52325583,,0,0.55385544,0
"Yemen, Rep.",AS,2.LM,,64.93,269783,0.86483453,3.995,1.03983181,,0,1.58122569,0
Zambia,AF,2.LM,1,16.43,29350,0.28827114,4.981,65.1991531,,96.9938239,,7
Zimbabwe,AF,1.L,1,29.05,7426,0.77995585,3.76,35.5424573,,52.7242764,,5
